film_title,category_name,rental_count
Voyage Legally,Classics,28
Wasteland Divine,Classics,15
Westward Seabiscuit,Classics,26
Airplane Sierra,Comedy,15
Anthem Luke,Comedy,15
Bringing Hysterical,Comedy,20
Caper Motions,Comedy,24
Cat Coneheads,Comedy,30
Closer Bang,Comedy,28
Connection Microcosmos,Comedy,7
Control Anthem,Comedy,7
Crazy Home,Comedy,9
Daddy Pittsburgh,Comedy,13
Doom Dancing,Comedy,21
Downhill Enough,Comedy,25
Dying Maker,Comedy,17
Element Freddy,Comedy,10
Ferris Mother,Comedy,17
Fireball Philadelphia,Comedy,21
Flintstones Happiness,Comedy,17
Freedom Cleopatra,Comedy,5
Gold River,Comedy,14
Groundhog Uncut,Comedy,18
Gunfight Moon,Comedy,24
Heaven Freedom,Comedy,18
Hedwig Alter,Comedy,12
Hurricane Affair,Comedy,24
Hustler Party,Comedy,22
Jaws Harry,Comedy,14
Knock Warlock,Comedy,24
Life Twisted,Comedy,10
Lion Uncut,Comedy,18
Lonely Elephant,Comedy,15
Mallrats United,Comedy,25
Memento Zoolander,Comedy,13
Mulan Moon,Comedy,13
Mystic Truman,Comedy,10
Operation Operation,Comedy,27
Paradise Sabrina,Comedy,18
Party Knock,Comedy,13
Perfect Groove,Comedy,17
Pinocchio Simon,Comedy,20
Pure Runner,Comedy,16
Rushmore Mermaid,Comedy,6
Saddle Antitrust,Comedy,14
Saturn Name,Comedy,13
Searchers Wait,Comedy,14
Snatch Slipper,Comedy,22
Stage World,Comedy,10
Strictly Scarface,Comedy,23
Submarine Bed,Comedy,15
Sweden Shining,Comedy,18
Trainspotting Strangers,Comedy,11
Tramp Others,Comedy,20
Valley Packer,Comedy,15
Velvet Terminator,Comedy,26
Vertigo Northwest,Comedy,8
Wisdom Worker,Comedy,9
Zorro Ark,Comedy,31
African Egg,Family,12
Apache Divine,Family,31
Atlantis Cause,Family,24
Baked Cleopatra,Family,16
Bang Kwai,Family,7
Bedazzled Married,Family,13
Bilko Anonymous,Family,13
Blanket Beverly,Family,12
Blood Argonauts,Family,10
Blues Instinct,Family,21
Braveheart Human,Family,5
Chasing Fight,Family,20
Chisum Behavior,Family,13
Chocolat Harry,Family,20
Confused Candles,Family,17
Conversation Downhill,Family,17
Date Speed,Family,13
Dinosaur Secretary,Family,20
Dumbo Lust,Family,6
Earring Instinct,Family,19
Effect Gladiator,Family,25
Feud Frogmen,Family,25
Finding Anaconda,Family,12
Gables Metropolis,Family,19
Gandhi Kwai,Family,17
Grease Youth,Family,21
Half Outfield,Family,26
Homicide Peach,Family,22
House Dynamite,Family,23
Hunting Musketeers,Family,15
Indian Love,Family,16
Jason Trap,Family,24
Jedi Beneath,Family,19
Killer Innocent,Family,6
King Evolution,Family,9
Lolita World,Family,10
Louisiana Harry,Family,17
Maguire Apache,Family,9
Manchurian Curtain,Family,15
Movie Shakespeare,Family,27
Music Boondock,Family,19
Natural Stock,Family,13
Network Peak,Family,31
Odds Boogie,Family,15
Opposite Necklace,Family,13
Pilot Hoosiers,Family,16
Pittsburgh Hunchback,Family,12
President Bang,Family,7
Prix Undefeated,Family,11
Rage Games,Family,19
Range Moonwalker,Family,27
Remember Diary,Family,18
Resurrection Silverado,Family,21
Robbery Bright,Family,13
Rush Goodfellas,Family,31
Secrets Paradise,Family,20
Sensibility Rear,Family,10
Siege Madre,Family,15
Slums Duck,Family,24
Soup Wisdom,Family,8
Spartacus Cheaper,Family,9
Spinal Rocky,Family,13
Splash Gump,Family,14
Sunset Racer,Family,8
Super Wyoming,Family,13
Virtual Spoilers,Family,14
Willow Tracy,Family,16
Alaska Phantom,Music,26
Alone Trip,Music,18
Amelie Hellfighters,Music,10
Balloon Homeward,Music,23
Banger Pinocchio,Music,22
Birch Antitrust,Music,11
Birdcage Casper,Music,9
Boogie Amelie,Music,29
Chamber Italian,Music,13
Clones Pinocchio,Music,19
Clue Grail,Music,7
Confidential Interview,Music,29
Deer Virginian,Music,29
Dorado Notting,Music,27
Driving Polish,Music,21
Elf Murder,Music,7
Enemy Odds,Music,29
Freaky Pocus,Music,17
Go Purple,Music,20
Greatest North,Music,29
Grosse Wonderful,Music,8
Hanover Galaxy,Music,17
Heavenly Gun,Music,7
Home Pity,Music,14
Impact Aladdin,Music,9
Insider Arizona,Music,20
Jawbreaker Brooklyn,Music,10
Legend Jedi,Music,9
Lucky Flying,Music,13
Masked Bubble,Music,20
Minority Kiss,Music,12
Monster Spartacus,Music,15
Oleander Clue,Music,10
Outfield Massacre,Music,20
Personal Ladybugs,Music,14
Rebel Airport,Music,8
Reds Pocus,Music,9
Roman Punk,Music,24
Runner Madigan,Music,8
Scalawag Duck,Music,32
Silence Kane,Music,16
Song Hedwig,Music,11
Taxi Kick,Music,17
Telegraph Voyage,Music,27
Terminator Club,Music,6
Uncut Suicides,Music,14
Vanishing Rocky,Music,18
Wizard Coldblooded,Music,16
Won Dares,Music,9
Words Hunter,Music,16
Youth Kick,Music,6
