title,name,rental_duration,standard_quartile
Frost Head,Classics,5,3
Betrayed Rear,Children,5,3
Dumbo Lust,Family,5,3
Dorado Notting,Music,5,3
Slums Duck,Family,5,3
Terminator Club,Music,5,3
Oleander Clue,Music,5,3
Zoolander Fiction,Children,5,3
Dogma Family,Animation,5,3
Giant Troopers,Children,5,3
Watch Tracy,Animation,5,3
Gilmore Boiled,Classics,5,3
Daddy Pittsburgh,Comedy,5,3
Uptown Young,Children,5,3
Center Dinosaur,Classics,5,3
Cat Coneheads,Comedy,5,3
Crossroads Casualties,Animation,5,3
Creepers Kane,Classics,5,3
Greatest North,Music,5,3
Network Peak,Family,5,3
Gunfight Moon,Comedy,5,3
Chocolat Harry,Family,5,3
Sweden Shining,Comedy,6,3
African Egg,Family,6,3
Airplane Sierra,Comedy,6,3
Alaska Phantom,Music,6,3
Alice Fantasia,Classics,6,3
Alter Victory,Animation,6,3
Atlantis Cause,Family,6,3
Bedazzled Married,Family,6,3
Beneath Rush,Children,6,3
Boogie Amelie,Music,6,3
Caper Motions,Comedy,6,3
Clash Freddy,Animation,6,3
Clones Pinocchio,Music,6,3
Clue Grail,Music,6,3
Color Philadelphia,Classics,6,3
Confidential Interview,Music,6,3
Connection Microcosmos,Comedy,6,3
Crooked Frogmen,Children,6,3
Driving Polish,Music,6,3
Early Home,Animation,6,3
Effect Gladiator,Family,6,3
Element Freddy,Comedy,6,3
Extraordinary Conquerer,Classics,6,3
Feud Frogmen,Family,6,3
Floats Garden,Animation,6,3
Flying Hook,Animation,6,3
Full Flatliners,Children,6,3
Ghost Groundhog,Children,6,3
Gladiator Westward,Family,6,3
Groundhog Uncut,Comedy,6,3
Half Outfield,Family,6,3
Holocaust Highball,Children,6,3
Holy Tadpole,Classics,6,3
Homicide Peach,Family,6,3
Hunting Musketeers,Family,6,3
Hurricane Affair,Comedy,6,3
Impact Aladdin,Music,6,3
Inch Jet,Animation,6,3
Jersey Sassy,Children,6,3
Jingle Sagebrush,Classics,6,3
Labyrinth League,Children,6,3
Lawless Vision,Animation,6,3
Lion Uncut,Comedy,6,3
Maguire Apache,Family,6,3
Malkovich Pet,Classics,6,3
Masked Bubble,Music,6,3
Microcosmos Paradise,Children,6,3
Monster Spartacus,Music,6,3
Movie Shakespeare,Family,6,3
Murder Antitrust,Children,6,3
Nash Chocolat,Animation,6,3
October Submarine,Classics,6,3
Odds Boogie,Family,6,3
Pilot Hoosiers,Family,6,3
Polish Brooklyn,Children,6,3
Prejudice Oleander,Classics,6,3
President Bang,Family,6,3
Pride Alamo,Animation,6,3
Punk Divorce,Animation,6,3
Requiem Tycoon,Classics,6,3
Resurrection Silverado,Family,6,3
Runner Madigan,Music,6,3
Rushmore Mermaid,Comedy,6,3
Scalawag Duck,Music,6,4
Snatch Slipper,Comedy,6,4
Soup Wisdom,Family,6,4
Storm Happiness,Animation,6,4
Sunset Racer,Family,6,4
Tadpole Park,Classics,6,4
Telemark Heartbreakers,Animation,6,4
Tequila Past,Children,6,4
Voyage Legally,Classics,6,4
Warlock Werewolf,Children,6,4
Willow Tracy,Family,6,4
Wonka Sea,Animation,6,4
Wrong Behavior,Children,6,4
Shepherd Midsummer,Children,7,4
Siege Madre,Family,7,4
Silence Kane,Music,7,4
Patient Sister,Classics,7,4
Party Knock,Comedy,7,4
Oscar Gold,Animation,7,4
Opposite Necklace,Family,7,4
Bringing Hysterical,Comedy,7,4
Operation Operation,Comedy,7,4
Musketeers Wait,Classics,7,4
Music Boondock,Family,7,4
Menagerie Rushmore,Animation,7,4
Westward Seabiscuit,Classics,7,4
Lucky Flying,Music,7,4
Spiking Element,Classics,7,4
Spinal Rocky,Family,7,4
Lights Deer,Classics,7,4
Legend Jedi,Music,7,4
Legally Secretary,Children,7,4
Killer Innocent,Family,7,4
Blackout Private,Animation,7,4
Jedi Beneath,Family,7,4
Island Exorcist,Classics,7,4
Iron Moon,Classics,7,4
House Dynamite,Family,7,4
Hook Chariots,Animation,7,4
Home Pity,Music,7,4
Hollywood Anonymous,Children,7,4
Hedwig Alter,Comedy,7,4
Braveheart Human,Family,7,4
Heaven Freedom,Comedy,7,4
Chamber Italian,Music,7,4
Grease Youth,Family,7,4
Graduate Lord,Children,7,4
Borrowers Bedazzled,Animation,7,4
Gilbert Pelican,Classics,7,4
Ghostbusters Elf,Animation,7,4
Won Dares,Music,7,4
Bikini Borrowers,Animation,7,4
Gandhi Kwai,Family,7,4
Freaky Pocus,Music,7,4
Frankenstein Stranger,Comedy,7,4
Forrester Comancheros,Animation,7,4
Forever Candidate,Children,7,4
Empire Malkovich,Children,7,4
Dracula Crystal,Classics,7,4
Towers Hurricane,Classics,7,4
Dinosaur Secretary,Family,7,4
Trainspotting Strangers,Comedy,7,4
Desire Alien,Animation,7,4
Deer Virginian,Music,7,4
Dares Pluto,Animation,7,4
Uncut Suicides,Music,7,4
Cruelty Unforgiven,Classics,7,4
Crazy Home,Comedy,7,4
Control Anthem,Comedy,7,4
Clockwork Paradise,Children,7,4
Christmas Moonshine,Children,7,4
Chasing Fight,Family,7,4
Volume House,Classics,7,4
Blanket Beverly,Family,7,4
Canyon Stock,Animation,7,4
Robbers Joon,Children,7,4
Roman Punk,Music,7,4
Room Roman,Animation,7,4
Right Cranes,Classics,7,4
Walls Artist,Children,7,4
Argonauts Town,Animation,7,4
Reds Pocus,Music,7,4
Saddle Antitrust,Comedy,7,4
Santa Paris,Children,7,4
Saturn Name,Comedy,7,4
Wasteland Divine,Classics,7,4
Rebel Airport,Music,7,4
Pond Seattle,Animation,7,4
Perfect Groove,Comedy,7,4
Sensibility Rear,Family,7,4
